"VILLE",CODE_INSEE,LONGITUDE,LATITUDE,DATE,INDICE_QUALITE_AIR,SOUS_INDICE_OZONE,SOUS_INDICE_PARTICULES_FINES,SOUS_INDICE_DIOXYDE_D'AZOTE,SOUS_INDICE_DIOXYDE_DE_SOUFRE,"CODE_COULEUR"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,17/05/2005,4,4,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,18/05/2005,4,4,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,19/05/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,20/05/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,21/05/2005,4,4,3,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,22/05/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,23/05/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,24/05/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,25/05/2005,6,6,2,2,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,26/05/2005,5,5,3,2,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,27/05/2005,5,5,3,1,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,28/05/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,29/05/2005,3,3,1,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,30/05/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,31/05/2005,4,4,2,1,2,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,01/06/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,02/06/2005,5,5,2,2,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,03/06/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,04/06/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,05/06/2005,3,3,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,06/06/2005,3,3,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,07/06/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,08/06/2005,5,5,3,2,2,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,09/06/2005,5,5,3,2,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,10/06/2005,5,5,3,2,2,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,11/06/2005,5,5,3,1,1,"ORANGE"
