"VILLE",CODE_INSEE,LONGITUDE,LATITUDE,DATE,INDICE_QUALITE_AIR,SOUS_INDICE_OZONE,SOUS_INDICE_PARTICULES_FINES,SOUS_INDICE_DIOXYDE_D'AZOTE,SOUS_INDICE_DIOXYDE_DE_SOUFRE,"CODE_COULEUR"
"LAVAL",53130,-0.770371, 48.072007,03/03/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,04/03/2005,3,3,2,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,05/03/2005,4,4,2,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,06/03/2005,5,5,3,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,07/03/2005,4,4,2,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,08/03/2005,3,3,2,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,09/03/2005,3,3,3,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,10/03/2005,3,3,3,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,11/03/2005,4,4,3,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,12/03/2005,4,4,2,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,13/03/2005,4,4,3,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,14/03/2005,4,4,3,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,15/03/2005,5,5,4,4,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,16/03/2005,5,5,5,3,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,17/03/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,18/03/2005,3,2,3,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,19/03/2005,4,4,2,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,20/03/2005,5,5,2,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,21/03/2005,3,3,3,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,22/03/2005,4,4,3,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,23/03/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,24/03/2005,4,4,3,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,25/03/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,26/03/2005,4,4,3,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,27/03/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,28/03/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,29/03/2005,3,3,1,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,30/03/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,31/03/2005,4,4,2,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,01/04/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,02/04/2005,4,4,,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,03/04/2005,5,5,3,1,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,04/04/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,05/04/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,06/04/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,07/04/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,08/04/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,09/04/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,10/04/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,11/04/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,12/04/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,13/04/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,14/04/2005,4,4,1,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,15/04/2005,4,4,2,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,16/04/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,17/04/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,18/04/2005,4,4,1,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,19/04/2005,4,4,1,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,20/04/2005,4,4,2,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,21/04/2005,4,4,3,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,22/04/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,23/04/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,24/04/2005,4,4,1,2,1,"VERT"
